frase,area,device,command
fai accendi punto luce in sala,Sala,luce_rgb,accendi
spengere punti luce in camera,Camera,luce_rgb,spegni
far accendi climatizzatore del sala,Sala,termostato,accendi
spengere climatizzatori in camera,Camera,termostato,spegni
abbassare tenda del cameretta,Cameretta,tapparella,chiudi
alzare tende da sole in sala,Sala,tapparella,apri
spengi punto luce in camera,Camera,luce_rgb,spegni
abbassa tenda in sala,Sala,tapparella,chiudi
spengi climatizzatore del cucina,Cucina,termostato,spegni
far accendi luce del balcone,Balcone,luce_semplice,accendi
far accendi climatizzatore del camera,Camera,termostato,accendi
abbassare tenda da sole del bagno,Bagno,tapparella,chiudi
spegnere punti luce del balcone,Balcone,luce_semplice,spegni
spengere climatizzatori del cameretta,Cameretta,termostato,spegni
apri tenda da sole in bagno,Bagno,tapparella,apri
spegni climatizzatori in cucina,Cucina,termostato,spegni
accendi il condizionatore,Bagno,condizionatore,accendi
apri tenda in bagno,Bagno,tapparella,apri
fa' accendi climatizzatori in camera,Camera,termostato,accendi
spegni climatizzatore del cucina,Cucina,termostato,spegni
spegnere punti luce del camera,Camera,luce_rgb,spegni
spengi climatizzatori in bagno,Bagno,condizionatore,spegni
fare accendi punto luce in balcone,Balcone,luce_semplice,accendi
spegni climatizzatori del sala,Sala,termostato,spegni
spegnere climatizzatori in cameretta,Cameretta,termostato,spegni
fai accendi punto luce del balcone,Balcone,luce_semplice,accendi
far accendi climatizzatore in cucina,Cucina,termostato,accendi
fare accendi luce del cucina,Cucina,luce_semplice,accendi
alza tenda del bagno,Bagno,tapparella,apri
fa' accendi luce del sala,Sala,luce_rgb,accendi
chiudi la tapparella in bagno,Bagno,tapparella,chiudi
spegnere clima del sala,Sala,termostato,spegni
luci del soggiorno on,Sala,luce_rgb,accendi
chiudere tenda da sole del sala,Sala,tapparella,chiudi
spengi punti luce in cameretta,Cameretta,luce_rgb,spegni
alza tenda del cameretta,Cameretta,tapparella,apri
chiudi tende da sole del bagno,Bagno,tapparella,chiudi
spegnere punti luce del cameretta,Cameretta,luce_rgb,spegni
spegni punti luce del ingresso,Ingresso,luce_semplice,spegni
chiudi tenda del bagno,Bagno,tapparella,chiudi
spegnere luce in camera,Camera,luce_rgb,spegni
spengere climatizzatore del cucina,Cucina,termostato,spegni
fa' accendi punto luce del cameretta,Cameretta,luce_rgb,accendi
spengi climatizzatori in cameretta,Cameretta,termostato,spegni
spengi climatizzatore del camera,Camera,termostato,spegni
apri tenda del bagno,Bagno,tapparella,apri
fai accendi punti luce del cameretta,Cameretta,luce_rgb,accendi
fare accendi climatizzatori del sala,Sala,termostato,accendi
accendi la luce in camera,Camera,luce_rgb,accendi
spegnere luce in ingresso,Ingresso,luce_semplice,spegni
spegnere luce in cucina,Cucina,luce_semplice,spegni
fare accendi punto luce in sala,Sala,luce_rgb,accendi
fare accendi punto luce del balcone,Balcone,luce_semplice,accendi
spegni clima in cameretta,Cameretta,termostato,spegni
far accendi punti luce in cucina,Cucina,luce_semplice,accendi
spegnere punti luce in camera,Camera,luce_rgb,spegni
abbassa tende da sole in bagno,Bagno,tapparella,chiudi
fai accendi climatizzatori del camera,Camera,termostato,accendi
fare accendi climatizzatori in camera,Camera,termostato,accendi
fa' accendi punto luce in ingresso,Ingresso,luce_semplice,accendi
alza tende da sole in bagno,Bagno,tapparella,apri
fa' accendi clima in camera,Camera,termostato,accendi
far accendi punti luce del balcone,Balcone,luce_semplice,accendi
fare accendi punti luce in bagno,Bagno,luce_semplice,accendi
spegni climatizzatori del cameretta,Cameretta,termostato,spegni
fare accendi punto luce del ingresso,Ingresso,luce_semplice,accendi
fare accendi clima in bagno,Bagno,condizionatore,accendi
spengi clima del cucina,Cucina,termostato,spegni
spengi clima in bagno,Bagno,condizionatore,spegni
fai accendi punti luce in cameretta,Cameretta,luce_rgb,accendi
spengere punto luce del ingresso,Ingresso,luce_semplice,spegni
spengi climatizzatore in cucina,Cucina,termostato,spegni
spegni punti luce del cucina,Cucina,luce_semplice,spegni
fai accendi luce del balcone,Balcone,luce_semplice,accendi
fare accendi clima in cucina,Cucina,termostato,accendi
accendi la luce ingresso,Ingresso,luce_semplice,accendi
fa' accendi punti luce del cameretta,Cameretta,luce_rgb,accendi
chiudi tende da sole in bagno,Bagno,tapparella,chiudi
far accendi punto luce del ingresso,Ingresso,luce_semplice,accendi
alza tende da sole del sala,Sala,tapparella,apri
spegnere clima in camera,Camera,termostato,spegni
fare accendi climatizzatori del camera,Camera,termostato,accendi
spegni clima del bagno,Bagno,condizionatore,spegni
spengere punto luce in balcone,Balcone,luce_semplice,spegni
alza tenda del sala,Sala,tapparella,apri
chiudi tenda del sala,Sala,tapparella,chiudi
fa' accendi clima in cameretta,Cameretta,termostato,accendi
fai accendi clima del bagno,Bagno,condizionatore,accendi
spengere climatizzatori del sala,Sala,termostato,spegni
aprire tenda del bagno,Bagno,tapparella,apri
spegni luce in ingresso,Ingresso,luce_semplice,spegni
alzare tende da sole del bagno,Bagno,tapparella,apri
fai accendi punto luce in cucina,Cucina,luce_semplice,accendi
spegnere clima del camera,Camera,termostato,spegni
spegni climatizzatori del camera,Camera,termostato,spegni
fare accendi punti luce in cameretta,Cameretta,luce_rgb,accendi
spengi climatizzatori del cameretta,Cameretta,termostato,spegni
spengi punti luce del sala,Sala,luce_rgb,spegni
spegni clima del sala,Sala,termostato,spegni
spegnere climatizzatore del camera,Camera,termostato,spegni
fa' accendi climatizzatori del bagno,Bagno,condizionatore,accendi
spegnere climatizzatori del cameretta,Cameretta,termostato,spegni
accendi la luce balcone,Balcone,luce_semplice,accendi
spegnere punto luce del bagno,Bagno,luce_semplice,spegni
aprire tenda da sole in bagno,Bagno,tapparella,apri
fare accendi punto luce del camera,Camera,luce_rgb,accendi
spegnere punti luce del bagno,Bagno,luce_semplice,spegni
spegnere climatizzatore del cameretta,Cameretta,termostato,spegni
chiudere tenda da sole in bagno,Bagno,tapparella,chiudi
spengi punti luce del cameretta,Cameretta,luce_rgb,spegni
fa' accendi punto luce del bagno,Bagno,luce_semplice,accendi
spegnere clima del cucina,Cucina,termostato,spegni
fa' accendi luce in cameretta,Cameretta,luce_rgb,accendi
abbassare tenda da sole del sala,Sala,tapparella,chiudi
fa' accendi climatizzatore in sala,Sala,termostato,accendi
fare accendi punto luce del bagno,Bagno,luce_semplice,accendi
far accendi punto luce del cucina,Cucina,luce_semplice,accendi
spengi climatizzatore del cameretta,Cameretta,termostato,spegni
fai accendi climatizzatore in cameretta,Cameretta,termostato,accendi
far accendi luce del camera,Camera,luce_rgb,accendi
spengere climatizzatori in bagno,Bagno,condizionatore,spegni
fare accendi climatizzatori in cameretta,Cameretta,termostato,accendi
fare accendi luce in cameretta,Cameretta,luce_rgb,accendi
fare accendi clima in sala,Sala,termostato,accendi
alza tenda in cameretta,Cameretta,tapparella,apri
fare accendi luce del ingresso,Ingresso,luce_semplice,accendi
accendi la luce in sala,Sala,luce_rgb,accendi
spegnere clima in cucina,Cucina,termostato,spegni
alzare tenda in sala,Sala,tapparella,apri
far accendi clima del cucina,Cucina,termostato,accendi
far accendi climatizzatore in camera,Camera,termostato,accendi
far accendi clima in cameretta,Cameretta,termostato,accendi
fare accendi luce in ingresso,Ingresso,luce_semplice,accendi
accendi la luce cucina,Cucina,luce_semplice,accendi
fai accendi climatizzatore del cameretta,Cameretta,termostato,accendi
alza tenda da sole del cameretta,Cameretta,tapparella,apri
fare accendi climatizzatore in sala,Sala,termostato,accendi
spegnere punto luce in camera,Camera,luce_rgb,spegni
fai accendi punto luce in balcone,Balcone,luce_semplice,accendi
fare accendi punto luce in camera,Camera,luce_rgb,accendi
far accendi punti luce del cucina,Cucina,luce_semplice,accendi
spegnere climatizzatore in sala,Sala,termostato,spegni
chiudi tenda da sole in bagno,Bagno,tapparella,chiudi
spegnere punto luce del balcone,Balcone,luce_semplice,spegni
fai accendi punto luce del cucina,Cucina,luce_semplice,accendi
fa' accendi climatizzatore del camera,Camera,termostato,accendi
spengere clima in camera,Camera,termostato,spegni
fare accendi punti luce del cucina,Cucina,luce_semplice,accendi
fare accendi climatizzatore in bagno,Bagno,condizionatore,accendi
fare accendi punto luce del cameretta,Cameretta,luce_rgb,accendi
spegnere luce in sala,Sala,luce_rgb,spegni
spengere clima in cucina,Cucina,termostato,spegni
spengere punto luce in sala,Sala,luce_rgb,spegni
spegnere luce del bagno,Bagno,luce_semplice,spegni
fa' accendi punto luce del ingresso,Ingresso,luce_semplice,accendi
spegni clima in sala,Sala,termostato,spegni
spegni climatizzatore del camera,Camera,termostato,spegni
fare accendi punti luce del balcone,Balcone,luce_semplice,accendi
fai accendi climatizzatori in cucina,Cucina,termostato,accendi
spegni climatizzatori in sala,Sala,termostato,spegni
fare accendi punti luce del sala,Sala,luce_rgb,accendi
aprire tenda in cameretta,Cameretta,tapparella,apri
spegni la luce ingresso,Ingresso,luce_semplice,spegni
alzare tenda in bagno,Bagno,tapparella,apri
far accendi climatizzatore in sala,Sala,termostato,accendi
abbassa tende da sole del cameretta,Cameretta,tapparella,chiudi
far accendi climatizzatore del cucina,Cucina,termostato,accendi
spengi climatizzatore in camera,Camera,termostato,spegni
spegni climatizzatore del sala,Sala,termostato,spegni
far accendi climatizzatori del cameretta,Cameretta,termostato,accendi
fare accendi clima in cameretta,Cameretta,termostato,accendi
spengere punto luce del cameretta,Cameretta,luce_rgb,spegni
spegni climatizzatori in camera,Camera,termostato,spegni
far accendi climatizzatori in cucina,Cucina,termostato,accendi
alzare tenda da sole del sala,Sala,tapparella,apri
fa' accendi climatizzatori del camera,Camera,termostato,accendi
spengi punto luce in bagno,Bagno,luce_semplice,spegni
aprire tenda in bagno,Bagno,tapparella,apri
fare accendi luce del camera,Camera,luce_rgb,accendi
spengi climatizzatore del sala,Sala,termostato,spegni
far accendi luce in cameretta,Cameretta,luce_rgb,accendi
spegni la luce cucina,Cucina,luce_semplice,spegni
spegni luce del bagno,Bagno,luce_semplice,spegni
spegnere punti luce in cucina,Cucina,luce_semplice,spegni
spengere luce in balcone,Balcone,luce_semplice,spegni
spengere climatizzatori del camera,Camera,termostato,spegni
fai accendi climatizzatori in camera,Camera,termostato,accendi
spegni climatizzatore in bagno,Bagno,condizionatore,spegni
fa' accendi punto luce del balcone,Balcone,luce_semplice,accendi
alza tende da sole del bagno,Bagno,tapparella,apri
spengi punti luce in camera,Camera,luce_rgb,spegni
spengi luce del ingresso,Ingresso,luce_semplice,spegni
chiudere tenda da sole del cameretta,Cameretta,tapparella,chiudi
fare accendi climatizzatori in bagno,Bagno,condizionatore,accendi
aprire tende da sole in cameretta,Cameretta,tapparella,apri
spegni punti luce in camera,Camera,luce_rgb,spegni
apri tenda da sole del cameretta,Cameretta,tapparella,apri
far accendi punti luce in bagno,Bagno,luce_semplice,accendi
abbassa tenda da sole del bagno,Bagno,tapparella,chiudi
fare accendi clima in camera,Camera,termostato,accendi
spegnere punti luce del ingresso,Ingresso,luce_semplice,spegni
fare accendi punto luce in ingresso,Ingresso,luce_semplice,accendi
spegni punti luce del camera,Camera,luce_rgb,spegni
fare accendi clima del bagno,Bagno,condizionatore,accendi
spengi climatizzatori del bagno,Bagno,condizionatore,spegni
spengi punti luce del ingresso,Ingresso,luce_semplice,spegni
fare accendi climatizzatore in camera,Camera,termostato,accendi
spengi climatizzatori del camera,Camera,termostato,spegni
apri tenda da sole in cameretta,Cameretta,tapparella,apri
spegni luce in balcone,Balcone,luce_semplice,spegni
fai accendi punti luce del cucina,Cucina,luce_semplice,accendi
spengi climatizzatore del bagno,Bagno,condizionatore,spegni
spegni luce del cucina,Cucina,luce_semplice,spegni
chiudere tenda in sala,Sala,tapparella,chiudi
fa' accendi punti luce in sala,Sala,luce_rgb,accendi
fa' accendi luce in cucina,Cucina,luce_semplice,accendi
chiudere tenda in bagno,Bagno,tapparella,chiudi
alzare tenda in cameretta,Cameretta,tapparella,apri
far accendi clima del camera,Camera,termostato,accendi
alzare tenda da sole in bagno,Bagno,tapparella,apri
fai accendi punto luce in bagno,Bagno,luce_semplice,accendi
fai accendi luce del cucina,Cucina,luce_semplice,accendi
fai accendi punti luce del balcone,Balcone,luce_semplice,accendi
fare accendi climatizzatore del bagno,Bagno,condizionatore,accendi
spengi clima del cameretta,Cameretta,termostato,spegni
spegnere punto luce del sala,Sala,luce_rgb,spegni
spengi punti luce in cucina,Cucina,luce_semplice,spegni
spegnere climatizzatori in bagno,Bagno,condizionatore,spegni
chiudi tende da sole in sala,Sala,tapparella,chiudi
far accendi luce in cucina,Cucina,luce_semplice,accendi
spengi clima del sala,Sala,termostato,spegni
spegnere punto luce del camera,Camera,luce_rgb,spegni
spengere climatizzatori in cucina,Cucina,termostato,spegni
spegnere climatizzatore in bagno,Bagno,condizionatore,spegni
fai accendi luce in cameretta,Cameretta,luce_rgb,accendi
fa' accendi climatizzatore del cucina,Cucina,termostato,accendi
spengi luce del camera,Camera,luce_rgb,spegni
fai accendi punto luce del camera,Camera,luce_rgb,accendi
fare accendi luce in sala,Sala,luce_rgb,accendi
fa' accendi climatizzatore del sala,Sala,termostato,accendi
far accendi luce in sala,Sala,luce_rgb,accendi
chiudere tende da sole in cameretta,Cameretta,tapparella,chiudi
fa' accendi clima del cucina,Cucina,termostato,accendi
fa' accendi punto luce del camera,Camera,luce_rgb,accendi
fare accendi punto luce del sala,Sala,luce_rgb,accendi
chiudere tende da sole del cameretta,Cameretta,tapparella,chiudi
fai accendi clima in sala,Sala,termostato,accendi
fai accendi punto luce del cameretta,Cameretta,luce_rgb,accendi
far accendi climatizzatore del bagno,Bagno,condizionatore,accendi
fai accendi punto luce in camera,Camera,luce_rgb,accendi
abbassare tenda in bagno,Bagno,tapparella,chiudi
spegni climatizzatore in sala,Sala,termostato,spegni
spegni luce del ingresso,Ingresso,luce_semplice,spegni
chiudi tenda da sole in sala,Sala,tapparella,chiudi
spegnere clima del cameretta,Cameretta,termostato,spegni
spegnere clima del bagno,Bagno,condizionatore,spegni
spengere climatizzatori in sala,Sala,termostato,spegni
spengere luce del sala,Sala,luce_rgb,spegni
fa' accendi climatizzatore in cucina,Cucina,termostato,accendi
spegni punti luce del balcone,Balcone,luce_semplice,spegni
abbassa tende da sole del sala,Sala,tapparella,chiudi
fa' accendi punti luce in cucina,Cucina,luce_semplice,accendi
far accendi clima del sala,Sala,termostato,accendi
fai accendi luce in camera,Camera,luce_rgb,accendi
far accendi clima in sala,Sala,termostato,accendi
fa' accendi luce del camera,Camera,luce_rgb,accendi
spengi punti luce del bagno,Bagno,luce_semplice,spegni
fai accendi luce in sala,Sala,luce_rgb,accendi
fai accendi climatizzatore del cucina,Cucina,termostato,accendi
fai accendi climatizzatori in cameretta,Cameretta,termostato,accendi
far accendi clima del bagno,Bagno,condizionatore,accendi
spegnere punto luce in cameretta,Cameretta,luce_rgb,spegni
fai accendi punti luce del ingresso,Ingresso,luce_semplice,accendi
spengere clima in cameretta,Cameretta,termostato,spegni
spengi clima in camera,Camera,termostato,spegni
alzare tenda da sole in sala,Sala,tapparella,apri
abbassare tenda da sole del cameretta,Cameretta,tapparella,chiudi
alzare tenda del cameretta,Cameretta,tapparella,apri
fai accendi punti luce del sala,Sala,luce_rgb,accendi
fai accendi punti luce in cucina,Cucina,luce_semplice,accendi
fa' accendi punti luce del camera,Camera,luce_rgb,accendi
alza tenda in sala,Sala,tapparella,apri
spengi climatizzatori in cucina,Cucina,termostato,spegni
spengi climatizzatore in bagno,Bagno,condizionatore,spegni
abbassa tenda da sole del sala,Sala,tapparella,chiudi
spegnere climatizzatori del sala,Sala,termostato,spegni
fa' accendi climatizzatore del cameretta,Cameretta,termostato,accendi
abbassa tenda del sala,Sala,tapparella,chiudi
fa' accendi punto luce del sala,Sala,luce_rgb,accendi
fare accendi clima del camera,Camera,termostato,accendi
far accendi climatizzatori in sala,Sala,termostato,accendi
far accendi luce del bagno,Bagno,luce_semplice,accendi
spengere punto luce in cameretta,Cameretta,luce_rgb,spegni
spengere punto luce del cucina,Cucina,luce_semplice,spegni
spengi luce del balcone,Balcone,luce_semplice,spegni
fai accendi clima in cameretta,Cameretta,termostato,accendi
spengere punti luce del cucina,Cucina,luce_semplice,spegni
fa' accendi punti luce del cucina,Cucina,luce_semplice,accendi
far accendi punto luce del balcone,Balcone,luce_semplice,accendi
spengi luce in cucina,Cucina,luce_semplice,spegni
fai accendi climatizzatore del bagno,Bagno,condizionatore,accendi
spengere punto luce in bagno,Bagno,luce_semplice,spegni
spengi punti luce in ingresso,Ingresso,luce_semplice,spegni
spengi clima in cameretta,Cameretta,termostato,spegni
spegni punto luce in balcone,Balcone,luce_semplice,spegni
far accendi punti luce in sala,Sala,luce_rgb,accendi
spegnere luce del cucina,Cucina,luce_semplice,spegni
dammi la luce in cucina,Cucina,luce_semplice,accendi
fai accendi clima del sala,Sala,termostato,accendi
fa' accendi punti luce in balcone,Balcone,luce_semplice,accendi
spengere climatizzatore in cameretta,Cameretta,termostato,spegni
far accendi climatizzatore del cameretta,Cameretta,termostato,accendi
fa' accendi punto luce in bagno,Bagno,luce_semplice,accendi
spegnere punti luce in ingresso,Ingresso,luce_semplice,spegni
spegni luce in cameretta,Cameretta,luce_rgb,spegni
far accendi punti luce del sala,Sala,luce_rgb,accendi
spegnere luce del camera,Camera,luce_rgb,spegni
aprire tenda del sala,Sala,tapparella,apri
fai accendi punti luce in balcone,Balcone,luce_semplice,accendi
aprire tenda da sole del bagno,Bagno,tapparella,apri
apri la tapparella in cameretta,Cameretta,tapparella,apri
spengere climatizzatore in bagno,Bagno,condizionatore,spegni
fai accendi punto luce in cameretta,Cameretta,luce_rgb,accendi
abbassa tende da sole del bagno,Bagno,tapparella,chiudi
far accendi punto luce in bagno,Bagno,luce_semplice,accendi
fare accendi climatizzatore del cucina,Cucina,termostato,accendi
far accendi luce del ingresso,Ingresso,luce_semplice,accendi
fai accendi clima del camera,Camera,termostato,accendi
spegnere luce in cameretta,Cameretta,luce_rgb,spegni
spengere clima in sala,Sala,termostato,spegni
spengere punti luce in sala,Sala,luce_rgb,spegni
fa' accendi clima in cucina,Cucina,termostato,accendi
spengere luce in cameretta,Cameretta,luce_rgb,spegni
spengi punto luce del camera,Camera,luce_rgb,spegni
spegnere punti luce del sala,Sala,luce_rgb,spegni
buio in sala,Sala,luce_rgb,spegni
spegnere luce in bagno,Bagno,luce_semplice,spegni
alzare tenda da sole in cameretta,Cameretta,tapparella,apri
spegni climatizzatore in camera,Camera,termostato,spegni
fai accendi punti luce in sala,Sala,luce_rgb,accendi
spegni luce del sala,Sala,luce_rgb,spegni
spengere punti luce del ingresso,Ingresso,luce_semplice,spegni
fare accendi punti luce del camera,Camera,luce_rgb,accendi
spegnere punti luce in bagno,Bagno,luce_semplice,spegni
spegni punto luce in cameretta,Cameretta,luce_rgb,spegni
spegnere punto luce del ingresso,Ingresso,luce_semplice,spegni
fa' accendi punti luce del bagno,Bagno,luce_semplice,accendi
spengi climatizzatori del cucina,Cucina,termostato,spegni
spengere climatizzatore del camera,Camera,termostato,spegni
fai accendi punto luce del ingresso,Ingresso,luce_semplice,accendi
fa' accendi clima del bagno,Bagno,condizionatore,accendi
alza tenda da sole in bagno,Bagno,tapparella,apri
spengere punto luce del balcone,Balcone,luce_semplice,spegni
fa' accendi luce del balcone,Balcone,luce_semplice,accendi
spengi punto luce in cucina,Cucina,luce_semplice,spegni
far accendi luce del sala,Sala,luce_rgb,accendi
fa' accendi clima in bagno,Bagno,condizionatore,accendi
far accendi punti luce in balcone,Balcone,luce_semplice,accendi
far accendi luce del cameretta,Cameretta,luce_rgb,accendi
spengere punti luce del sala,Sala,luce_rgb,spegni
spegni punti luce in cameretta,Cameretta,luce_rgb,spegni
spegnere luce in balcone,Balcone,luce_semplice,spegni
fa' accendi punti luce in camera,Camera,luce_rgb,accendi
spengere luce del balcone,Balcone,luce_semplice,spegni
chiudi tenda da sole del bagno,Bagno,tapparella,chiudi
spengere punto luce in ingresso,Ingresso,luce_semplice,spegni
fare accendi punti luce del bagno,Bagno,luce_semplice,accendi
abbassa la tapparella sala,Sala,tapparella,chiudi
far accendi climatizzatori in cameretta,Cameretta,termostato,accendi
fa' accendi luce in balcone,Balcone,luce_semplice,accendi
alzare tenda da sole del cameretta,Cameretta,tapparella,apri
